,Boolean,IntegerList,StringList
0,True,"[19, 64, 517, 145, 117, 887, 9, 91, 22, 910]","['TOP', 'JUNGLE', 'MIDDLE', 'BOTTOM', 'UTILITY', 'TOP', 'JUNGLE', 'MIDDLE', 'BOTTOM', 'UTILITY']"
1,True,"[54, 64, 134, 81, 35, 55, 9, 48, 498, 117]","['TOP', 'JUNGLE', 'MIDDLE', 'BOTTOM', 'UTILITY', 'MIDDLE', 'JUNGLE', 'TOP', 'BOTTOM', 'UTILITY']"
2,False,[],[]
3,False,[],[]
4,True,[],[]
5,False,"[57, 5, 24, 526, 85, 267, 51, 63, 77, 126]","['', '', '', '', '', '', '', '', '', '']"
6,Match is too short. Skipping.,,
7,True,"[117, 2, 113, 498, 112, 147, 104, 32, 122, 876]","['', '', '', '', '', '', '', '', '', '']"
8,False,"[18, 412, 78, 266, 68, 122, 58, 267, 80, 163]","['', '', '', '', '', '', '', '', '', '']"
9,True,"[910, 875, 90, 62, 104, 4, 1, 412, 81, 54]","['', '', '', '', '', '', '', '', '', '']"
10,False,"[238, 64, 80, 107, 235, 777, 200, 55, 22, 910]","['TOP', 'JUNGLE', 'MIDDLE', 'BOTTOM', 'UTILITY', 'TOP', 'JUNGLE', 'MIDDLE', 'BOTTOM', 'UTILITY']"
11,False,"[14, 77, 910, 81, 51, 82, 104, 9, 115, 103]","['TOP', 'JUNGLE', 'MIDDLE', 'BOTTOM', 'UTILITY', 'TOP', 'JUNGLE', 'MIDDLE', 'BOTTOM', 'UTILITY']"
12,False,"[113, 33, 517, 157, 910, 23, 28, 45, 51, 64]","['TOP', 'JUNGLE', 'MIDDLE', 'BOTTOM', 'UTILITY', 'TOP', 'JUNGLE', 'MIDDLE', 'BOTTOM', 'UTILITY']"
13,True,"[887, 5, 45, 157, 111, 14, 35, 136, 51, 64]","['TOP', 'JUNGLE', 'MIDDLE', 'BOTTOM', 'UTILITY', 'TOP', 'JUNGLE', 'MIDDLE', 'BOTTOM', 'UTILITY']"
14,False,"[164, 233, 910, 235, 22, 222, 17, 8, 64, 147]","['TOP', 'JUNGLE', 'MIDDLE', 'BOTTOM', 'UTILITY', 'BOTTOM', 'JUNGLE', 'MIDDLE', 'TOP', 'UTILITY']"
15,Match is too short. Skipping.,,
16,Match is too short. Skipping.,,
17,Match is too short. Skipping.,,
18,Match is too short. Skipping.,,
19,Match is too short. Skipping.,,
20,Match is too short. Skipping.,,
21,Match is too short. Skipping.,,
22,Match is too short. Skipping.,,
23,Match is too short. Skipping.,,
24,Match is too short. Skipping.,,
25,Match is too short. Skipping.,,
26,Match is too short. Skipping.,,
27,Match is too short. Skipping.,,
28,Match is too short. Skipping.,,
29,Match is too short. Skipping.,,
30,Match is too short. Skipping.,,
31,Match is too short. Skipping.,,
32,Match is too short. Skipping.,,
33,Match is too short. Skipping.,,
34,Match is too short. Skipping.,,
35,Match is too short. Skipping.,,
36,Match is too short. Skipping.,,
37,Match is too short. Skipping.,,
38,Match is too short. Skipping.,,
39,Match is too short. Skipping.,,
40,Match is too short. Skipping.,,
41,Match is too short. Skipping.,,
42,Match is too short. Skipping.,,
43,Match is too short. Skipping.,,
44,Match is too short. Skipping.,,
45,Match is too short. Skipping.,,
46,Match is too short. Skipping.,,
47,Match is too short. Skipping.,,
48,Match is too short. Skipping.,,
49,False,"[79, 60, 23, 222, 201, 86, 121, 34, 15, 888]","['TOP', 'JUNGLE', 'MIDDLE', 'BOTTOM', 'UTILITY', 'TOP', 'JUNGLE', 'MIDDLE', 'BOTTOM', 'UTILITY']"
50,False,"[902, 360, 17, 43, 202, 81, 79, 234, 84, 7]","['', '', '', '', '', '', '', '', '', '']"
51,True,"[157, 516, 223, 147, 104, 202, 101, 77, 897, 24]","['', '', '', '', '', '', '', '', '', '']"
52,True,"[142, 1, 12, 23, 22, 235, 246, 79, 32, 42]","['', '', '', '', '', '', '', '', '', '']"
53,False,"[82, 85, 221, 163, 38, 81, 412, 84, 58, 59]","['', '', '', '', '', '', '', '', '', '']"
54,False,"[15, 266, 43, 429, 245, 13, 54, 19, 29, 21]","['', '', '', '', '', '', '', '', '', '']"
55,Match is too short. Skipping.,,
56,Match is too short. Skipping.,,
57,True,"[518, 120, 29, 28, 113, 68, 106, 31, 221, 555]","['', '', '', '', '', '', '', '', '', '']"
58,True,"[201, 54, 80, 41, 497, 267, 429, 517, 910, 32]","['', '', '', '', '', '', '', '', '', '']"
59,Match is too short. Skipping.,,
