,Boolean,IntegerList,StringList
0,True,"[114, 64, 517, 22, 163, 897, 80, 55, 202, 412]","['TOP', 'JUNGLE', 'MIDDLE', 'BOTTOM', 'UTILITY', 'TOP', 'JUNGLE', 'MIDDLE', 'BOTTOM', 'UTILITY']"
1,True,"[897, 64, 517, 96, 350, 114, 107, 245, 429, 37]","['TOP', 'JUNGLE', 'MIDDLE', 'BOTTOM', 'UTILITY', 'TOP', 'JUNGLE', 'MIDDLE', 'BOTTOM', 'UTILITY']"
2,False,"[24, 64, 105, 67, 37, 48, 111, 84, 147, 154]","['TOP', 'JUNGLE', 'MIDDLE', 'BOTTOM', 'UTILITY', 'TOP', 'UTILITY', 'MIDDLE', 'BOTTOM', 'JUNGLE']"
3,True,"[266, 104, 84, 157, 267, 24, 64, 517, 22, 16]","['TOP', 'JUNGLE', 'MIDDLE', 'BOTTOM', 'UTILITY', 'TOP', 'JUNGLE', 'MIDDLE', 'BOTTOM', 'UTILITY']"
4,False,"[106, 421, 134, 202, 53, 58, 64, 105, 15, 143]","['TOP', 'JUNGLE', 'MIDDLE', 'BOTTOM', 'UTILITY', 'TOP', 'JUNGLE', 'MIDDLE', 'BOTTOM', 'UTILITY']"
5,True,"[79, 104, 55, 81, 526, 516, 421, 711, 412, 110]","['TOP', 'JUNGLE', 'MIDDLE', 'BOTTOM', 'UTILITY', 'TOP', 'JUNGLE', 'MIDDLE', 'UTILITY', 'BOTTOM']"
6,False,"[19, 526, 50, 22, 12, 266, 163, 55, 145, 412]","['TOP', 'JUNGLE', 'MIDDLE', 'BOTTOM', 'UTILITY', 'TOP', 'JUNGLE', 'MIDDLE', 'BOTTOM', 'UTILITY']"
7,True,"[897, 59, 134, 110, 902, 102, 154, 55, 69, 412]","['TOP', 'JUNGLE', 'MIDDLE', 'BOTTOM', 'UTILITY', 'TOP', 'JUNGLE', 'MIDDLE', 'BOTTOM', 'UTILITY']"
8,False,"[106, 120, 55, 145, 40, 84, 91, 157, 30, 154]","['TOP', 'JUNGLE', 'MIDDLE', 'BOTTOM', 'UTILITY', 'TOP', 'JUNGLE', 'MIDDLE', 'BOTTOM', 'UTILITY']"
9,False,"[106, 203, 18, 147, 40, 69, 122, 55, 22, 63]","['TOP', 'JUNGLE', 'MIDDLE', 'BOTTOM', 'UTILITY', 'TOP', 'JUNGLE', 'MIDDLE', 'BOTTOM', 'UTILITY']"
10,False,"[18, 31, 35, 16, 266, 200, 777, 22, 888, 99]","['', '', '', '', '', '', '', '', '', '']"
11,False,"[56, 254, 96, 3, 887, 22, 86, 89, 432, 147]","['', '', '', '', '', '', '', '', '', '']"
12,True,"[518, 23, 84, 27, 147, 21, 39, 236, 163, 30]","['', '', '', '', '', '', '', '', '', '']"
13,False,"[10, 13, 50, 54, 235, 82, 202, 21, 110, 131]","['', '', '', '', '', '', '', '', '', '']"
14,False,"[166, 104, 112, 222, 412, 48, 76, 777, 115, 143]","['TOP', 'JUNGLE', 'MIDDLE', 'BOTTOM', 'UTILITY', 'TOP', 'JUNGLE', 'MIDDLE', 'BOTTOM', 'UTILITY']"
