,Boolean,IntegerList,StringList
0,True,"[27, 56, 42, 18, 12, 75, 9, 517, 110, 22]","['TOP', 'JUNGLE', 'MIDDLE', 'BOTTOM', 'UTILITY', 'TOP', 'JUNGLE', 'MIDDLE', 'BOTTOM', 'UTILITY']"
1,True,"[133, 104, 163, 22, 902, 114, 254, 777, 81, 111]","['TOP', 'JUNGLE', 'MIDDLE', 'BOTTOM', 'UTILITY', 'TOP', 'JUNGLE', 'MIDDLE', 'BOTTOM', 'UTILITY']"
2,False,"[92, 28, 777, 110, 412, 58, 233, 134, 236, 201]","['TOP', 'JUNGLE', 'MIDDLE', 'BOTTOM', 'UTILITY', 'TOP', 'JUNGLE', 'MIDDLE', 'BOTTOM', 'UTILITY']"
3,False,"[777, 59, 55, 22, 910, 92, 121, 101, 81, 412]","['TOP', 'JUNGLE', 'MIDDLE', 'BOTTOM', 'UTILITY', 'TOP', 'JUNGLE', 'MIDDLE', 'BOTTOM', 'UTILITY']"
4,False,"[86, 64, 112, 15, 99, 83, 104, 136, 51, 22]","['TOP', 'JUNGLE', 'MIDDLE', 'BOTTOM', 'UTILITY', 'TOP', 'JUNGLE', 'MIDDLE', 'BOTTOM', 'UTILITY']"
5,False,"[83, 56, 61, 22, 78, 150, 11, 127, 67, 267]","['TOP', 'JUNGLE', 'MIDDLE', 'BOTTOM', 'UTILITY', 'TOP', 'JUNGLE', 'MIDDLE', 'BOTTOM', 'UTILITY']"
6,True,"[41, 427, 105, 202, 40, 897, 64, 127, 15, 235]","['TOP', 'JUNGLE', 'MIDDLE', 'BOTTOM', 'UTILITY', 'TOP', 'JUNGLE', 'MIDDLE', 'BOTTOM', 'UTILITY']"
7,True,"[266, 104, 61, 429, 40, 133, 876, 134, 110, 101]","['TOP', 'JUNGLE', 'MIDDLE', 'BOTTOM', 'UTILITY', 'TOP', 'JUNGLE', 'MIDDLE', 'BOTTOM', 'UTILITY']"
8,True,"[875, 245, 61, 498, 497, 56, 154, 39, 96, 117]","['TOP', 'JUNGLE', 'MIDDLE', 'BOTTOM', 'UTILITY', 'TOP', 'JUNGLE', 'MIDDLE', 'BOTTOM', 'UTILITY']"
9,False,"[777, 154, 82, 110, 235, 92, 11, 517, 119, 711]","['MIDDLE', 'JUNGLE', 'TOP', 'BOTTOM', 'UTILITY', 'TOP', 'JUNGLE', 'MIDDLE', 'BOTTOM', 'UTILITY']"
10,False,"[412, 523, 90, 876, 113, 84, 67, 10, 120, 79]","['', '', '', '', '', '', '', '', '', '']"
11,False,"[34, 32, 63, 203, 59, 902, 23, 523, 1, 21]","['', '', '', '', '', '', '', '', '', '']"
12,False,"[516, 145, 136, 143, 24, 235, 31, 14, 902, 81]","['', '', '', '', '', '', '', '', '', '']"
13,False,"[76, 126, 222, 523, 233, 202, 516, 876, 107, 101]","['', '', '', '', '', '', '', '', '', '']"
14,Match is too short. Skipping.,,
15,Match is too short. Skipping.,,
16,Match is too short. Skipping.,,
17,Match is too short. Skipping.,,
18,Match is too short. Skipping.,,
19,Match is too short. Skipping.,,
20,Match is too short. Skipping.,,
21,Match is too short. Skipping.,,
22,Match is too short. Skipping.,,
23,Match is too short. Skipping.,,
24,Match is too short. Skipping.,,
25,Match is too short. Skipping.,,
26,Match is too short. Skipping.,,
27,Match is too short. Skipping.,,
28,Match is too short. Skipping.,,
29,Match is too short. Skipping.,,
30,Match is too short. Skipping.,,
