,Boolean,IntegerList,StringList
0,Match is too short. Skipping.,,
1,False,"[420, 35, 4, 145, 101, 150, 234, 163, 360, 555]","['TOP', 'JUNGLE', 'MIDDLE', 'BOTTOM', 'UTILITY', 'TOP', 'JUNGLE', 'MIDDLE', 'BOTTOM', 'UTILITY']"
2,True,"[266, 64, 134, 18, 74, 58, 35, 268, 145, 43]","['TOP', 'JUNGLE', 'MIDDLE', 'BOTTOM', 'UTILITY', 'TOP', 'JUNGLE', 'MIDDLE', 'BOTTOM', 'UTILITY']"
3,True,"[86, 78, 518, 51, 25, 164, 14, 238, 360, 235]","['TOP', 'JUNGLE', 'MIDDLE', 'BOTTOM', 'UTILITY', 'TOP', 'JUNGLE', 'MIDDLE', 'BOTTOM', 'UTILITY']"
4,True,"[92, 35, 163, 110, 888, 77, 106, 134, 145, 555]","['TOP', 'JUNGLE', 'MIDDLE', 'BOTTOM', 'UTILITY', 'TOP', 'JUNGLE', 'MIDDLE', 'BOTTOM', 'UTILITY']"
5,True,"[777, 245, 103, 157, 12, 24, 143, 126, 145, 89]","['TOP', 'JUNGLE', 'MIDDLE', 'BOTTOM', 'UTILITY', 'TOP', 'JUNGLE', 'MIDDLE', 'BOTTOM', 'UTILITY']"
6,True,"[126, 245, 777, 523, 40, 39, 64, 134, 222, 412]","['TOP', 'JUNGLE', 'MIDDLE', 'BOTTOM', 'UTILITY', 'TOP', 'JUNGLE', 'MIDDLE', 'BOTTOM', 'UTILITY']"
7,False,"[266, 245, 101, 145, 201, 58, 163, 887, 235, 115]","['TOP', 'JUNGLE', 'MIDDLE', 'BOTTOM', 'UTILITY', 'TOP', 'JUNGLE', 'MIDDLE', 'UTILITY', 'BOTTOM']"
8,False,"[777, 59, 134, 81, 111, 54, 245, 105, 145, 89]","['TOP', 'JUNGLE', 'MIDDLE', 'BOTTOM', 'UTILITY', 'TOP', 'JUNGLE', 'MIDDLE', 'BOTTOM', 'UTILITY']"
9,True,"[19, 18, 245, 429, 12, 86, 9, 950, 119, 35]","['TOP', 'MIDDLE', 'JUNGLE', 'BOTTOM', 'UTILITY', 'TOP', 'JUNGLE', 'MIDDLE', 'BOTTOM', 'UTILITY']"
10,False,"[238, 233, 8, 147, 432, 58, 48, 517, 67, 201]","['TOP', 'JUNGLE', 'MIDDLE', 'BOTTOM', 'UTILITY', 'TOP', 'JUNGLE', 'MIDDLE', 'BOTTOM', 'UTILITY']"
11,Match is too short. Skipping.,,
12,False,"[233, 517, 134, 523, 910, 106, 266, 101, 221, 412]","['TOP', 'JUNGLE', 'MIDDLE', 'BOTTOM', 'UTILITY', 'TOP', 'JUNGLE', 'MIDDLE', 'BOTTOM', 'UTILITY']"
13,False,"[777, 233, 910, 110, 53, 80, 32, 55, 17, 164]","['TOP', 'JUNGLE', 'MIDDLE', 'BOTTOM', 'UTILITY', 'TOP', 'JUNGLE', 'MIDDLE', 'BOTTOM', 'UTILITY']"
14,True,"[92, 154, 112, 145, 12, 134, 5, 233, 523, 40]","['TOP', 'JUNGLE', 'MIDDLE', 'BOTTOM', 'UTILITY', 'MIDDLE', 'JUNGLE', 'TOP', 'BOTTOM', 'UTILITY']"
15,False,"[164, 246, 142, 81, 235, 92, 107, 134, 51, 12]","['TOP', 'JUNGLE', 'MIDDLE', 'BOTTOM', 'UTILITY', 'TOP', 'JUNGLE', 'MIDDLE', 'BOTTOM', 'UTILITY']"
16,False,"[164, 24, 45, 81, 22, 777, 233, 517, 115, 235]","['TOP', 'JUNGLE', 'MIDDLE', 'BOTTOM', 'UTILITY', 'TOP', 'JUNGLE', 'MIDDLE', 'BOTTOM', 'UTILITY']"
17,True,"[36, 30, 91, 895, 111, 54, 234, 86, 81, 79]","['TOP', 'JUNGLE', 'MIDDLE', 'BOTTOM', 'UTILITY', 'TOP', 'JUNGLE', 'MIDDLE', 'BOTTOM', 'UTILITY']"
18,True,"[106, 56, 246, 110, 29, 114, 154, 777, 63, 267]","['TOP', 'JUNGLE', 'MIDDLE', 'BOTTOM', 'UTILITY', 'TOP', 'JUNGLE', 'MIDDLE', 'BOTTOM', 'UTILITY']"
19,False,"[98, 56, 136, 67, 235, 266, 9, 238, 81, 555]","['TOP', 'JUNGLE', 'MIDDLE', 'BOTTOM', 'UTILITY', 'TOP', 'JUNGLE', 'MIDDLE', 'BOTTOM', 'UTILITY']"
20,False,"[36, 104, 99, 236, 267, 106, 72, 3, 145, 517]","['TOP', 'JUNGLE', 'MIDDLE', 'BOTTOM', 'UTILITY', 'TOP', 'JUNGLE', 'MIDDLE', 'BOTTOM', 'UTILITY']"
21,True,"[11, 72, 777, 18, 50, 80, 59, 134, 360, 111]","['TOP', 'JUNGLE', 'MIDDLE', 'BOTTOM', 'UTILITY', 'TOP', 'JUNGLE', 'MIDDLE', 'BOTTOM', 'UTILITY']"
22,False,"[30, 122, 432, 412, 110, 79, 90, 85, 64, 777]","['', '', '', '', '', '', '', '', '', '']"
23,True,"[523, 254, 99, 134, 29, 222, 36, 115, 25, 33]","['TOP', 'JUNGLE', 'BOTTOM', 'MIDDLE', 'UTILITY', 'BOTTOM', 'TOP', 'MIDDLE', 'UTILITY', 'JUNGLE']"
24,True,"[35, 96, 267, 122, 36, 238, 517, 266, 111, 98]","['', '', '', '', '', '', '', '', '', '']"
25,True,"[92, 200, 55, 21, 555, 24, 33, 7, 222, 57]","['TOP', 'JUNGLE', 'MIDDLE', 'BOTTOM', 'UTILITY', 'TOP', 'JUNGLE', 'MIDDLE', 'BOTTOM', 'UTILITY']"
26,True,"[887, 421, 42, 236, 267, 39, 91, 127, 22, 16]","['TOP', 'JUNGLE', 'MIDDLE', 'BOTTOM', 'UTILITY', 'TOP', 'JUNGLE', 'MIDDLE', 'BOTTOM', 'UTILITY']"
27,False,"[6, 11, 777, 147, 37, 60, 28, 99, 21, 888]","['TOP', 'JUNGLE', 'MIDDLE', 'BOTTOM', 'UTILITY', 'TOP', 'JUNGLE', 'MIDDLE', 'BOTTOM', 'UTILITY']"
28,False,"[92, 5, 233, 222, 111, 67, 64, 1, 81, 235]","['TOP', 'JUNGLE', 'MIDDLE', 'BOTTOM', 'UTILITY', 'TOP', 'JUNGLE', 'MIDDLE', 'BOTTOM', 'UTILITY']"
29,False,"[777, 28, 103, 110, 16, 92, 9, 27, 147, 888]","['TOP', 'JUNGLE', 'MIDDLE', 'BOTTOM', 'UTILITY', 'TOP', 'JUNGLE', 'MIDDLE', 'BOTTOM', 'UTILITY']"
30,True,"[80, 104, 136, 29, 127, 145, 107, 103, 81, 412]","['TOP', 'JUNGLE', 'MIDDLE', 'BOTTOM', 'UTILITY', 'TOP', 'JUNGLE', 'MIDDLE', 'BOTTOM', 'UTILITY']"
31,False,"[875, 120, 136, 69, 432, 887, 9, 39, 145, 12]","['TOP', 'JUNGLE', 'MIDDLE', 'BOTTOM', 'UTILITY', 'TOP', 'JUNGLE', 'MIDDLE', 'BOTTOM', 'UTILITY']"
32,Match is too short. Skipping.,,
33,False,"[516, 254, 136, 145, 37, 31, 64, 39, 202, 910]","['TOP', 'JUNGLE', 'MIDDLE', 'BOTTOM', 'UTILITY', 'TOP', 'JUNGLE', 'MIDDLE', 'BOTTOM', 'UTILITY']"
34,False,"[41, 63, 136, 81, 111, 75, 56, 101, 202, 147]","['TOP', 'JUNGLE', 'MIDDLE', 'BOTTOM', 'UTILITY', 'TOP', 'JUNGLE', 'MIDDLE', 'BOTTOM', 'UTILITY']"
35,True,"[876, 64, 163, 429, 888, 86, 104, 61, 360, 12]","['TOP', 'JUNGLE', 'MIDDLE', 'BOTTOM', 'UTILITY', 'TOP', 'JUNGLE', 'MIDDLE', 'BOTTOM', 'UTILITY']"
