,MatchId
0,NA1_4841662063
1,NA1_4841646383
2,NA1_4841639947
3,NA1_4841623276
4,NA1_4841613272
5,NA1_4841668418
6,NA1_4841662848
7,NA1_4841649942
8,NA1_4841637247
9,NA1_4841625078
10,NA1_4854068638
11,NA1_4854053624
12,NA1_4852130408
13,NA1_4852112202
14,NA1_4840815890
15,NA1_4847406951
16,NA1_4846580594
17,NA1_4845523724
18,NA1_4841965297
19,NA1_4835853301
20,NA1_4856163139
21,NA1_4856108965
22,NA1_4856076149
23,NA1_4855869178
24,NA1_4855429598
25,NA1_4855894118
26,NA1_4855851696
27,NA1_4855820147
28,NA1_4855785446
29,NA1_4855752253
30,NA1_4856899561
31,NA1_4856862116
32,NA1_4856843447
33,NA1_4856793028
34,NA1_4856773801
35,NA1_4855883677
36,NA1_4855859088
37,NA1_4855823653
38,NA1_4855790320
39,NA1_4855762284
40,NA1_4853951113
41,NA1_4853928976
42,NA1_4853900988
43,NA1_4853861530
44,NA1_4850354960
45,NA1_4856849388
46,NA1_4856820075
47,NA1_4856784727
48,NA1_4856770949
49,NA1_4856748540
50,NA1_4836384344
51,NA1_4836342173
52,NA1_4836332869
53,NA1_4836312773
54,NA1_4836293494
55,NA1_4832481760
56,NA1_4830766235
57,NA1_4830747592
58,NA1_4830723918
59,NA1_4828264338
60,NA1_4833043241
61,NA1_4833007447
62,NA1_4832949441
63,NA1_4832920641
64,NA1_4832883196
65,NA1_4842280361
66,NA1_4842229763
67,NA1_4842191375
68,NA1_4842150199
69,NA1_4842121759
70,NA1_4856620538
71,NA1_4856603384
72,NA1_4856575569
73,NA1_4856512952
74,NA1_4856478897
75,NA1_4856037059
76,NA1_4855990363
77,NA1_4855955158
78,NA1_4855911460
79,NA1_4855885863
80,NA1_4856324142
81,NA1_4856271450
82,NA1_4856081092
83,NA1_4856047015
84,NA1_4855992366
85,NA1_4852825838
86,NA1_4852805752
87,NA1_4852643065
88,NA1_4852612940
89,NA1_4852538120
90,NA1_4855995444
91,NA1_4855802773
92,NA1_4855760524
93,NA1_4855735079
94,NA1_4855703354
95,NA1_4856649477
96,NA1_4856639692
97,NA1_4854362355
98,NA1_4854339051
99,NA1_4854322238
100,NA1_4855026883
101,NA1_4854972260
102,NA1_4854902300
103,NA1_4854844538
104,NA1_4854818325
105,NA1_4856889569
106,NA1_4856866568
107,NA1_4856610515
108,NA1_4856597006
109,NA1_4856394623
110,NA1_4856793426
111,NA1_4856258964
112,NA1_4856185232
113,NA1_4856147626
114,NA1_4856113999
115,NA1_4856916911
116,NA1_4856606390
117,NA1_4856593259
118,NA1_4856566958
119,NA1_4856553070
120,NA1_4856905113
121,NA1_4849543317
122,NA1_4847252525
123,NA1_4847238304
124,NA1_4847216654
125,NA1_4856377497
126,NA1_4856081168
127,NA1_4856060040
128,NA1_4856036125
129,NA1_4855916963
130,NA1_4856893820
131,NA1_4856431529
132,NA1_4856401704
133,NA1_4856372657
134,NA1_4856268380
135,NA1_4856248694
136,NA1_4856204460
137,NA1_4855410381
138,NA1_4855389360
139,NA1_4855375063
140,NA1_4849704570
141,NA1_4843140547
142,NA1_4843112232
143,NA1_4836609608
144,NA1_4836591935
145,NA1_4856348073
146,NA1_4856312879
147,NA1_4856278987
148,NA1_4856147311
149,NA1_4856105248
150,NA1_4856261721
151,NA1_4856224651
152,NA1_4856180648
153,NA1_4856154895
154,NA1_4856133743
155,NA1_4856464842
156,NA1_4856441778
157,NA1_4856100791
158,NA1_4856068269
159,NA1_4855453382
160,NA1_4855058981
161,NA1_4855027731
162,NA1_4855000313
163,NA1_4854975304
164,NA1_4854943388
165,NA1_4856462951
166,NA1_4856415670
167,NA1_4856380384
168,NA1_4856111341
169,NA1_4856082367
170,NA1_4848795884
171,NA1_4848739976
172,NA1_4848697581
173,NA1_4847030910
174,NA1_4846979581
175,NA1_4853182894
176,NA1_4853167764
177,NA1_4853148039
178,NA1_4853130907
179,NA1_4853098334
180,NA1_4856743679
181,NA1_4853817774
182,NA1_4851707413
183,NA1_4851682171
184,NA1_4851634556
185,NA1_4856291986
186,NA1_4856256645
187,NA1_4856201439
188,NA1_4856148428
189,NA1_4856125866
190,NA1_4838399471
191,NA1_4838365345
192,NA1_4838330797
193,NA1_4838281956
194,NA1_4833441920
195,NA1_4856910826
196,NA1_4856866879
197,NA1_4856488527
198,NA1_4856451584
199,NA1_4856418180
200,NA1_4856320633
201,NA1_4856270643
202,NA1_4856256191
203,NA1_4856214248
204,NA1_4855431338
205,NA1_4856121266
206,NA1_4854857222
207,NA1_4854823591
208,NA1_4854785605
209,NA1_4854757298
210,NA1_4821245322
211,NA1_4821231448
212,NA1_4821208254
213,NA1_4821055060
214,NA1_4821004143
215,NA1_4845270541
216,NA1_4845234760
217,NA1_4843542896
218,NA1_4843392593
219,NA1_4840938106
220,NA1_4856555649
221,NA1_4856330843
222,NA1_4856294986
223,NA1_4856236749
224,NA1_4856173093
225,NA1_4856267471
226,NA1_4856225630
227,NA1_4856182349
228,NA1_4856135281
229,NA1_4856028632
230,NA1_4856908588
231,NA1_4856369372
232,NA1_4856323374
233,NA1_4856138603
234,NA1_4856088547
235,NA1_4855675962
236,NA1_4855659081
237,NA1_4855652794
238,NA1_4855103006
239,NA1_4855073529
240,NA1_4856893800
241,NA1_4856870757
242,NA1_4856835962
243,NA1_4856278597
244,NA1_4856247912
245,NA1_4856563584
246,NA1_4856551281
247,NA1_4856535128
248,NA1_4856517022
249,NA1_4856497602
250,NA1_4856501019
251,NA1_4856475311
252,NA1_4856458978
253,NA1_4856435863
254,NA1_4856411888
255,NA1_4853002599
256,NA1_4852981426
257,NA1_4839892788
258,NA1_4827907880
259,NA1_4827718058
260,NA1_4850745634
261,NA1_4850718362
262,NA1_4850667280
263,NA1_4850048561
264,NA1_4849705604
265,NA1_4826179404
266,NA1_4826171804
267,NA1_4826141560
268,NA1_4825908710
269,NA1_4825875171
270,NA1_4856192062
271,NA1_4852775451
272,NA1_4852740149
273,NA1_4852698150
274,NA1_4852654598
275,NA1_4856909100
276,NA1_4856889521
277,NA1_4856874695
278,NA1_4856869111
279,NA1_4856852911
280,NA1_4855253078
281,NA1_4855198801
282,NA1_4855138761
283,NA1_4855106781
284,NA1_4855093888
285,NA1_4855594308
286,NA1_4854766235
287,NA1_4854744425
288,NA1_4854727372
289,NA1_4854695479
290,NA1_4842228103
291,NA1_4842078734
292,NA1_4842056963
293,NA1_4841519444
294,NA1_4841484619
295,NA1_4856498290
296,NA1_4856482827
297,NA1_4848968537
298,NA1_4848922276
299,NA1_4847498364
300,NA1_4852020294
301,NA1_4851994773
302,NA1_4851591820
303,NA1_4848832860
304,NA1_4848794444
305,NA1_4854401128
306,NA1_4854396880
307,NA1_4854384190
308,NA1_4854374465
309,NA1_4854369009
310,NA1_4855445108
311,NA1_4855410489
312,NA1_4855369143
313,NA1_4855273862
314,NA1_4855223474
315,NA1_4852449433
316,NA1_4852438968
317,NA1_4851607707
318,NA1_4851576531
319,NA1_4851504932
320,NA1_4852976449
321,NA1_4852945366
322,NA1_4852904740
323,NA1_4852873125
324,NA1_4852839602
325,NA1_4856623774
326,NA1_4856608985
327,NA1_4856594240
328,NA1_4856582982
329,NA1_4856550958
330,NA1_4856384096
331,NA1_4856352179
332,NA1_4856320028
333,NA1_4847758165
