,MatchId
0,NA1_4835257240
1,NA1_4835217979
2,NA1_4825116331
3,NA1_4825110827
4,NA1_4823285778
5,NA1_4856995239
6,NA1_4856683068
7,NA1_4856673081
8,NA1_4856663832
9,NA1_4856649872
10,NA1_4837242063
11,NA1_4837197357
12,NA1_4837151463
13,NA1_4837028558
14,NA1_4836976875
15,NA1_4852081277
16,NA1_4852055762
17,NA1_4852017328
18,NA1_4851878971
19,NA1_4851827550
20,NA1_4856560646
21,NA1_4856550282
22,NA1_4856537132
23,NA1_4856521910
24,NA1_4856488505
25,NA1_4855898393
26,NA1_4855855540
27,NA1_4855831974
28,NA1_4855803358
29,NA1_4855776854
30,NA1_4856226754
31,NA1_4856177023
32,NA1_4856140601
33,NA1_4856103761
34,NA1_4856059073
35,NA1_4856289721
36,NA1_4856244677
37,NA1_4856212215
38,NA1_4856181611
39,NA1_4856159371
40,NA1_4856242493
41,NA1_4856197299
42,NA1_4856135506
43,NA1_4856110254
44,NA1_4856089253
45,NA1_4857056231
46,NA1_4857027903
47,NA1_4856389621
48,NA1_4856370978
49,NA1_4856263265
50,NA1_4856826291
51,NA1_4856810823
52,NA1_4855844162
53,NA1_4855144632
54,NA1_4854843654
55,NA1_4856430707
56,NA1_4856400479
57,NA1_4856374681
58,NA1_4856058523
59,NA1_4856041082
60,NA1_4856941402
61,NA1_4856913138
62,NA1_4856886184
63,NA1_4856382839
64,NA1_4856344808
65,NA1_4856994313
66,NA1_4856901879
67,NA1_4856887889
68,NA1_4856861189
69,NA1_4852924045
70,NA1_4854276670
71,NA1_4854255492
72,NA1_4854214727
73,NA1_4852977463
74,NA1_4852945556
75,NA1_4856307075
76,NA1_4855566404
77,NA1_4855560274
78,NA1_4855551649
79,NA1_4855554771
80,NA1_4856888880
81,NA1_4856424073
82,NA1_4856292315
83,NA1_4855431836
84,NA1_4855411197
85,NA1_4856315830
86,NA1_4856279389
87,NA1_4856102500
88,NA1_4856073238
89,NA1_4856039745
90,NA1_4856487379
91,NA1_4856476648
92,NA1_4855452439
93,NA1_4855380005
94,NA1_4855331309
95,NA1_4854204921
96,NA1_4852505064
97,NA1_4852095441
98,NA1_4852069992
99,NA1_4851921363
100,NA1_4856620674
101,NA1_4856612696
102,NA1_4856537588
103,NA1_4856509452
104,NA1_4856185874
105,NA1_4855235103
106,NA1_4855200180
107,NA1_4855163395
108,NA1_4855128364
109,NA1_4855095637
110,NA1_4857074386
111,NA1_4857063799
112,NA1_4857047233
113,NA1_4857032783
114,NA1_4857013079
115,NA1_4856582966
116,NA1_4856572110
117,NA1_4856551630
118,NA1_4856542882
119,NA1_4856529737
120,NA1_4855174246
121,NA1_4855142049
122,NA1_4855105711
123,NA1_4855077927
124,NA1_4855045509
125,NA1_4856310035
126,NA1_4853160557
127,NA1_4853103035
128,NA1_4853049525
129,NA1_4853003044
130,NA1_4852794949
131,NA1_4844151719
132,NA1_4839193866
133,NA1_4839143886
134,NA1_4838855299
135,NA1_4852003902
136,NA1_4851979842
137,NA1_4851954233
138,NA1_4851699842
139,NA1_4851652391
140,NA1_4857072691
141,NA1_4856938806
142,NA1_4856926829
143,NA1_4856913755
144,NA1_4856896121
145,NA1_4856669946
146,NA1_4856659361
147,NA1_4856642106
148,NA1_4856631176
149,NA1_4856610515
150,NA1_4813336726
151,NA1_4813275702
152,NA1_4813187593
153,NA1_4812951449
154,NA1_4812936985
155,NA1_4856293703
156,NA1_4856270985
157,NA1_4856218291
158,NA1_4855304793
159,NA1_4855279734
160,NA1_4856416147
161,NA1_4856344909
162,NA1_4856305026
163,NA1_4856134461
164,NA1_4856098157
165,NA1_4855897186
166,NA1_4855873837
167,NA1_4855860862
168,NA1_4855822224
169,NA1_4855810100
170,NA1_4853980101
171,NA1_4853952953
172,NA1_4853927771
173,NA1_4853892465
174,NA1_4853869727
175,NA1_4841487326
176,NA1_4841437577
177,NA1_4836282655
178,NA1_4836275060
179,NA1_4836260002
180,NA1_4856391573
181,NA1_4855027399
182,NA1_4854969663
183,NA1_4854307478
184,NA1_4854278459
185,NA1_4857035724
186,NA1_4856961476
187,NA1_4856939133
188,NA1_4856301630
189,NA1_4856272154
190,NA1_4856371554
191,NA1_4856342685
192,NA1_4856253153
193,NA1_4856226008
194,NA1_4856199039
195,NA1_4841550503
196,NA1_4841475959
197,NA1_4841429564
198,NA1_4841399805
199,NA1_4841354529
200,NA1_4856273719
201,NA1_4856192547
202,NA1_4855102612
203,NA1_4855072527
204,NA1_4855045437
205,NA1_4857058110
206,NA1_4857041001
207,NA1_4856956068
208,NA1_4856941075
209,NA1_4856927043
210,NA1_4848149120
211,NA1_4848109063
212,NA1_4847129042
213,NA1_4847104097
214,NA1_4847082851
215,NA1_4856309526
216,NA1_4856274164
217,NA1_4856242971
218,NA1_4851945185
219,NA1_4837314011
220,NA1_4855427585
221,NA1_4852433936
222,NA1_4852411158
223,NA1_4851620969
224,NA1_4851563330
225,NA1_4840795012
226,NA1_4840774841
227,NA1_4840750218
228,NA1_4840729819
229,NA1_4840421149
230,NA1_4849585085
231,NA1_4849558364
232,NA1_4849539467
233,NA1_4849528067
234,NA1_4849480755
235,NA1_4840887014
236,NA1_4840657869
237,NA1_4840333887
238,NA1_4840279346
239,NA1_4840218510
240,NA1_4835188666
241,NA1_4835165515
242,NA1_4835150936
243,NA1_4835129186
244,NA1_4835075944
245,NA1_4849096210
246,NA1_4844409825
247,NA1_4844310114
248,NA1_4844267358
249,NA1_4842384474
250,NA1_4852094430
251,NA1_4852082259
252,NA1_4852057304
253,NA1_4852045163
254,NA1_4852024386
255,NA1_4855473366
256,NA1_4855453792
257,NA1_4855350701
258,NA1_4855300455
259,NA1_4855250469
260,NA1_4856393243
261,NA1_4856345946
262,NA1_4856298740
263,NA1_4856223168
264,NA1_4856163298
265,NA1_4848148346
266,NA1_4848112997
267,NA1_4846609704
268,NA1_4846586395
269,NA1_4846557387
270,NA1_4856952491
271,NA1_4856940111
272,NA1_4856920574
273,NA1_4856915741
274,NA1_4856869556
275,NA1_4851189951
276,NA1_4825128878
277,NA1_4821374123
278,NA1_4821354186
279,NA1_4821341416
280,NA1_4856445440
281,NA1_4856426839
282,NA1_4856396193
283,NA1_4856075396
284,NA1_4856027944
285,NA1_4854385717
286,NA1_4854377672
287,NA1_4854373213
288,NA1_4854365842
289,NA1_4854348641
290,NA1_4835529522
291,NA1_4829407360
292,NA1_4826387324
293,NA1_4822976958
294,NA1_4816930262
295,NA1_4857054861
296,NA1_4856967961
297,NA1_4855192799
298,NA1_4855162927
299,NA1_4855118785
300,NA1_4856671618
301,NA1_4856670935
302,NA1_4855822763
303,NA1_4855803267
304,NA1_4855787633
305,NA1_4857059576
306,NA1_4856028314
307,NA1_4855769215
308,NA1_4855743426
309,NA1_4855729987
310,NA1_4851984833
311,NA1_4849463037
312,NA1_4839878928
313,NA1_4835950521
314,NA1_4829158128
315,NA1_4853328983
316,NA1_4849338759
317,NA1_4849330017
318,NA1_4849293733
319,NA1_4849273996
320,NA1_4851010207
321,NA1_4850973864
322,NA1_4835366816
323,NA1_4835342621
324,NA1_4835334982
325,NA1_4855805146
326,NA1_4855772671
327,NA1_4855753150
328,NA1_4855223581
329,NA1_4855182522
330,NA1_4856883784
331,NA1_4856860634
332,NA1_4856847342
333,NA1_4856839229
334,NA1_4856052977
335,NA1_4855465483
336,NA1_4854341738
337,NA1_4839498758
338,NA1_4839475373
339,NA1_4839458542
340,NA1_4842324247
341,NA1_4842271546
342,NA1_4828682962
343,NA1_4828651638
344,NA1_4828625383
345,NA1_4821222005
346,NA1_4821203366
347,NA1_4821029896
348,NA1_4820976060
349,NA1_4820931211
350,NA1_4833692212
351,NA1_4833664135
352,NA1_4833644195
353,NA1_4833624176
354,NA1_4833607795
355,NA1_4807606965
356,NA1_4807532371
357,NA1_4804457529
358,NA1_4804439808
359,NA1_4802342483
360,NA1_4857025440
361,NA1_4857003816
362,NA1_4856972594
363,NA1_4856940297
364,NA1_4856215426
365,NA1_4856213921
366,NA1_4856172170
367,NA1_4855920533
368,NA1_4855118163
369,NA1_4855083152
370,NA1_4856452858
371,NA1_4856394708
372,NA1_4856365497
373,NA1_4856325945
374,NA1_4856260078
375,NA1_4856473590
376,NA1_4856456262
377,NA1_4856427178
378,NA1_4856365735
379,NA1_4851395938
380,NA1_4853946064
381,NA1_4852466168
382,NA1_4851405138
383,NA1_4842646732
384,NA1_4839410179
385,NA1_4857032163
386,NA1_4857010756
387,NA1_4856965596
388,NA1_4856938191
389,NA1_4854691577
390,NA1_4857037666
391,NA1_4857002189
392,NA1_4856974508
393,NA1_4856953034
394,NA1_4856931125
395,NA1_4852688200
396,NA1_4852380196
397,NA1_4852359323
398,NA1_4852262244
399,NA1_4852251572
400,NA1_4822215034
401,NA1_4819824794
402,NA1_4819534626
403,NA1_4818853900
404,NA1_4818819181
405,NA1_4852136023
406,NA1_4852126005
407,NA1_4826831447
408,NA1_4826797215
409,NA1_4826736837
410,NA1_4856470805
411,NA1_4856202029
412,NA1_4856040713
413,NA1_4855421918
414,NA1_4854125767
415,NA1_4834619745
416,NA1_4834591149
417,NA1_4834571672
418,NA1_4833658973
419,NA1_4822669722
420,NA1_4856596489
421,NA1_4856406223
422,NA1_4856375604
423,NA1_4856354344
424,NA1_4856335189
425,NA1_4856265642
426,NA1_4856219949
427,NA1_4856152988
428,NA1_4854879772
429,NA1_4854047024
430,NA1_4836727599
431,NA1_4824091813
432,NA1_4824078320
433,NA1_4824063802
434,NA1_4824039262
435,NA1_4856620423
436,NA1_4853124552
437,NA1_4853115747
438,NA1_4853092338
439,NA1_4853074748
440,NA1_4841459619
441,NA1_4841419869
442,NA1_4841387857
443,NA1_4841351353
444,NA1_4841297769
445,NA1_4855315155
446,NA1_4849262219
447,NA1_4849231861
448,NA1_4830766113
449,NA1_4814982782
450,NA1_4853180964
451,NA1_4852622532
452,NA1_4852468091
453,NA1_4852457800
454,NA1_4851543179
455,NA1_4834630740
456,NA1_4834607951
457,NA1_4831031667
458,NA1_4831022888
459,NA1_4830985054
460,NA1_4856461883
461,NA1_4856412580
462,NA1_4856177023
463,NA1_4856116139
464,NA1_4852183021
465,NA1_4856245972
466,NA1_4856212433
467,NA1_4856184396
468,NA1_4856156310
469,NA1_4856128557
470,NA1_4855985117
471,NA1_4855931935
472,NA1_4855890814
473,NA1_4855049509
474,NA1_4855029811
475,NA1_4853788074
476,NA1_4843328277
477,NA1_4843292629
478,NA1_4842503577
479,NA1_4841087714
480,NA1_4811046442
481,NA1_4811037963
482,NA1_4811018221
483,NA1_4811006780
484,NA1_4810986875
485,NA1_4855416346
486,NA1_4855391275
487,NA1_4855360364
488,NA1_4855333784
489,NA1_4855288148
490,NA1_4829143473
491,NA1_4829124719
492,NA1_4829113911
493,NA1_4829096344
494,NA1_4828854826
495,NA1_4854310306
496,NA1_4854283038
497,NA1_4849263497
498,NA1_4848249067
499,NA1_4848226255
500,NA1_4831642161
501,NA1_4831634867
502,NA1_4831463552
503,NA1_4831428677
504,NA1_4831404971
505,NA1_4856226119
506,NA1_4856199087
507,NA1_4856167836
508,NA1_4856131205
509,NA1_4856105960
510,NA1_4834777093
511,NA1_4834746601
512,NA1_4834717505
513,NA1_4834691438
514,NA1_4834656586
515,NA1_4846217037
516,NA1_4846194899
517,NA1_4846166863
518,NA1_4846133351
519,NA1_4846106047
520,NA1_4837719040
521,NA1_4837694091
522,NA1_4836594476
523,NA1_4836557437
524,NA1_4836529103
525,NA1_4852844154
526,NA1_4852795621
527,NA1_4852523158
528,NA1_4852486908
529,NA1_4852415592
530,NA1_4856911159
531,NA1_4856882130
532,NA1_4856279514
533,NA1_4856235662
534,NA1_4856202876
535,NA1_4854412078
536,NA1_4853787288
537,NA1_4853749724
538,NA1_4851167946
539,NA1_4850598686
540,NA1_4855813884
541,NA1_4851120727
542,NA1_4851096354
543,NA1_4847378042
544,NA1_4847332425
545,NA1_4857061229
546,NA1_4855999087
547,NA1_4855951023
548,NA1_4855911404
549,NA1_4855860420
550,NA1_4847473753
551,NA1_4847448140
552,NA1_4840242785
553,NA1_4836362168
554,NA1_4836340016
555,NA1_4856008025
556,NA1_4855949833
557,NA1_4855894557
558,NA1_4855856988
559,NA1_4855822225
560,NA1_4855631203
