,MatchId
0,NA1_4856102958
1,NA1_4856064419
2,NA1_4856044210
3,NA1_4854827228
4,NA1_4854794198
5,NA1_4856230019
6,NA1_4856197089
7,NA1_4856168256
8,NA1_4855678003
9,NA1_4854843998
10,NA1_4856365191
11,NA1_4856304426
12,NA1_4856246665
13,NA1_4856215861
14,NA1_4856187198
15,NA1_4835906019
16,NA1_4835639003
17,NA1_4835503699
18,NA1_4832301745
19,NA1_4832124762
20,NA1_4846601028
21,NA1_4846585643
22,NA1_4846548795
23,NA1_4846527832
24,NA1_4846508163
25,NA1_4849373251
26,NA1_4849361340
27,NA1_4849349294
28,NA1_4849337781
29,NA1_4849322073
30,NA1_4856423800
31,NA1_4856289442
32,NA1_4856176516
33,NA1_4856116464
34,NA1_4856059073
35,NA1_4843635878
36,NA1_4843610727
37,NA1_4843595137
38,NA1_4843573187
39,NA1_4843550753
40,NA1_4856263193
41,NA1_4856222427
42,NA1_4856186167
43,NA1_4856133062
44,NA1_4856096449
45,NA1_4844165344
46,NA1_4844094769
47,NA1_4844053033
48,NA1_4832996263
49,NA1_4832955109
50,NA1_4849871641
51,NA1_4849815678
52,NA1_4849158532
53,NA1_4849139840
54,NA1_4849118954
55,NA1_4835677976
56,NA1_4825190727
57,NA1_4793128800
58,NA1_4787112875
59,NA1_4787076783
60,NA1_4856576813
61,NA1_4856553676
62,NA1_4856543300
63,NA1_4856526584
64,NA1_4856509579
65,NA1_4824041856
66,NA1_4823776660
67,NA1_4819725926
68,NA1_4817230899
69,NA1_4815141938
70,NA1_4850014484
71,NA1_4837096276
72,NA1_4836784768
73,NA1_4836765736
74,NA1_4834863691
75,NA1_4850669509
76,NA1_4850643303
77,NA1_4850617643
78,NA1_4843034820
79,NA1_4843007122
80,NA1_4842353843
81,NA1_4842299119
82,NA1_4842245605
83,NA1_4842211415
84,NA1_4842173578
85,NA1_4855677804
86,NA1_4855633291
87,NA1_4855618538
88,NA1_4854704047
89,NA1_4854608140
90,NA1_4856873255
91,NA1_4828317575
92,NA1_4813829186
93,NA1_4813795670
94,NA1_4813777319
95,NA1_4819616017
96,NA1_4819484283
97,NA1_4819436931
98,NA1_4819407777
99,NA1_4819380719
100,NA1_4839267813
101,NA1_4839219527
102,NA1_4839168671
103,NA1_4839130390
104,NA1_4839101251
105,NA1_4849211737
